col0 col1
1.3389e+00 2.4213e-02
2.4283e-03 1.5964e-04
1.0904e-03 7.4184e-05
-6.1630e-06 3.4375e-07
2.0088e-06 2.0334e-07
1.2638e-06 1.3434e-07
-4.6640e-09 2.8875e-10
-4.9544e-09 1.9240e-10
5.0408e-09 1.0149e-10
-1.3514e-10 8.3088e-11
-2.8338e-03 2.8922e-04
4.3163e-05 1.7904e-06
-1.9381e-05 1.1778e-06
9.8916e-08 4.3445e-09
5.7097e-08 2.7091e-09
-6.4805e-08 2.1527e-09
3.9729e-11 4.0630e-12
9.2467e-11 2.8612e-12
-3.3892e-11 1.8248e-12
-2.7672e-11 1.3588e-12
-4.6864e-05 4.1814e-06
-3.5437e-07 2.4921e-08
8.0298e-09 1.5985e-08
-5.9986e-10 5.7292e-11
-6.0336e-10 3.7919e-11
3.3320e-10 2.7702e-11
-4.5947e-13 5.2165e-14
-7.5671e-14 3.7238e-14
-4.5332e-13 2.2829e-14
3.1259e-13 1.6845e-14
