ID,RA,DEC,z_spec,z_source,mag444,n_exp_example
1085347,189.1123,62.199047,1.3845,GDN-lit,21.243,8
1085725,189.10556,62.20982,0.532,GDN-lit (q3),21.604,8
1085759,189.08545,62.210587,1.3338,GDN-lit (q3),20.762,8
1092823,189.12662,62.20238,0.457,GDN-lit (q3),20.756,8
1092837,189.1435,62.20357,0.4575,GDN-lit (q3),18.234,2
1092885,189.08977,62.207478,0.398,GDN-lit (q3),19.926,8
1092912,189.0924,62.210384,0.6319,GDN-lit,20.560,8
1092951,189.12984,62.2101,0.4569,GDN-lit,21.496,6
1092955,189.1177,62.21046,0.5176,GDN-lit (q3),21.070,8
1092970,189.0928,62.211582,0.458,GDN-lit,20.273,8
1092999,189.11092,62.214455,0.5565,GDN-lit (q3),20.522,8
1093030,189.11382,62.216072,1.2226,GDN-lit,20.795,8
1093045,189.10439,62.21685,0.5185,GDN-lit (q3),20.161,8
